name,uid,description,author,pages,price,"isbn	"
Coral Bells - Nursery*,ARW000001,"The Coral Bells series has been designed to cater to the needs, abilities and interest of children. The books introduce students to the basic skills of reading, writing, numeracy and general awareness of life around them. The series has also been designed to develop various skills such as association skills, visual discrimination, observation skills, comparison skills, and eye-hand coordination. It adheres to the recommendation of the National Curriculum Framework (NCF)",Pramila Enoch,356,1499.90,978-93-87359-37-6
Coral Bells - LKG*,ARW000002,"The Coral Bells series has been designed to cater to the needs, abilities and interest of children. The books introduce students to the basic skills of reading, writing, numeracy and general awareness of life around them. The series has also been designed to develop various skills such as association skills, visual discrimination, observation skills, comparison skills, and eye-hand coordination. It adheres to the recommendation of the National Curriculum Framework (NCF)","Swathantra Shaktivel, Jyothi Swaroop",672,1698.90,978-93-87359-19-2
Coral Bells - UKG*,ARW000003,"The Coral Bells series has been designed to cater to the needs, abilities and interest of children. The books introduce students to the basic skills of reading, writing, numeracy and general awareness of life around them. The series has also been designed to develop various skills such as association skills, visual discrimination, observation skills, comparison skills, and eye-hand coordination. It adheres to the recommendation of the National Curriculum Framework (NCF)","Swathantra Shaktivel, Jyothi Swaroop",752,1749.90,978-93-87359-96-3
Peppy Kids- English Reader,ARW000004,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",104,339.90,978-93-87327-16-0
Peppy Kids- English Companion,ARW000005,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",56,249.90,978-93-87327-17-7
Peppy Kids- Mathematics,ARW000006,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",104,339.90,978-93-87327-18-4
Peppy Kids- Maths Compa,ARW000007,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",56,249.90,978-93-87327-19-1
Peppy Kids- EVS,ARW000008,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",96,339.90,978-93-87327-20-7
Peppy Kids- EVS Companion,ARW000009,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",48,249.90,978-93-87327-21-4
Peppy Kids- English Reader,ARW000010,"The Peppy Kids series covers recognition and the sounds of letters in a phased manner with an activity in between to test understanding. Sight reading of common words has been introduced with illustrations for children to read with ease. Rhymes and stories give children the opportunity to recite and dramatize to strengthen their speaking skills and self-confidence. Ample opportunities are provided for developing listening skills, speaking skills, reading readiness and writing readiness skills.","Swathantra Shaktivel, Jyothi Swaroop",104,349.90,978-93-87327-22-1
